IE_XML_ID;IE_NAME;IP_PROP7;CV_PRICE_1;CV_CURRENCY_1;CV_PRICE_2;CV_CURRENCY_2;CV_PRICE_3;CV_CURRENCY_3
1282;Алюминиевый цветной радиатор Rifar Alum 500 8 секции зеленый опалово;color33;12400.00;RUB;;;;
1283;Алюминиевый цветной радиатор Rifar Alum 500 8 секции рубиновый;color32;12400.00;RUB;;;;
1284;Алюминиевый цветной радиатор Rifar Alum 500 8 секции серый;color10;12400.00;RUB;;;;
1285;Алюминиевый цветной радиатор Rifar Alum 500 8 секции фиолетовый;color8;12400.00;RUB;;;;
1286;Алюминиевый цветной радиатор Rifar Alum 500 8 секции синий;color6;12400.00;RUB;;;;
1288;Алюминиевый цветной радиатор Rifar Alum 500 10 секции красный;color5;15500.00;RUB;;;;
1289;Алюминиевый цветной радиатор Rifar Alum 500 10 секции желтый;color15;15500.00;RUB;;;;
1290;Алюминиевый цветной радиатор Rifar Alum 500 10 секции зеленый опалово;color33;15500.00;RUB;;;;
1291;Алюминиевый цветной радиатор Rifar Alum 500 10 секции рубиновый;color32;15500.00;RUB;;;;
1292;Алюминиевый цветной радиатор Rifar Alum 500 10 секции серый;color10;15500.00;RUB;;;;
1293;Алюминиевый цветной радиатор Rifar Alum 500 10 секции фиолетовый;color8;15500.00;RUB;;;;
1294;Алюминиевый цветной радиатор Rifar Alum 500 10 секции синий;color6;15500.00;RUB;;;;
1296;Алюминиевый цветной радиатор Rifar Alum 500 12 секции красный;color5;18600.00;RUB;;;;
1298;Алюминиевый цветной радиатор Rifar Alum 500 12 секции желтый;color15;18600.00;RUB;;;;
1299;Алюминиевый цветной радиатор Rifar Alum 500 12 секции зеленый опалово;color33;18600.00;RUB;;;;
1300;Алюминиевый цветной радиатор Rifar Alum 500 12 секции рубиновый;color32;18600.00;RUB;;;;
1301;Алюминиевый цветной радиатор Rifar Alum 500 12 секции серый;color10;18600.00;RUB;;;;
1302;Алюминиевый цветной радиатор Rifar Alum 500 12 секции фиолетовый;color8;18600.00;RUB;;;;
1303;Алюминиевый цветной радиатор Rifar Alum 500 12 секции синий;color6;18600.00;RUB;;;;
1304;Алюминиевый цветной радиатор Rifar Alum 500 14 секции красный;color5;21700.00;RUB;;;;
1305;Алюминиевый цветной радиатор Rifar Alum 500 14 секции зеленый опалово;color33;21700.00;RUB;;;;
1306;Алюминиевый цветной радиатор Rifar Alum 500 14 секции желтый;color15;21700.00;RUB;;;;
1307;Алюминиевый цветной радиатор Rifar Alum 500 14 секции рубиновый;color32;21700.00;RUB;;;;
1308;Алюминиевый цветной радиатор Rifar Alum 500 14 секции серый;color10;21700.00;RUB;;;;
1309;Алюминиевый цветной радиатор Rifar Alum 500 14 секции фиолетовый;color8;21700.00;RUB;;;;
1310;Алюминиевый цветной радиатор Rifar Alum 500 14 секции синий;color6;21700.00;RUB;;;;
